Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
300,San Andreas (Carrizo) rev,8.0E-5,0.0,0.0,0.0,2.0E-5,8.0E-5,0.0
285,San Andreas (Cholame) rev,7.0E-5,0.0,0.0,0.0,2.0E-5,7.0E-5,0.0
295,San Andreas (Coachella) rev,8.0E-5,0.0,0.0,0.0,1.0E-5,8.0E-5,5.0E-5
658,San Andreas (Creeping Section) 2011 CFM,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
286,San Andreas (Mojave N),9.9E-4,0.0,0.0,2.0E-5,2.5E-4,9.7E-4,4.3E-4
301,San Andreas (Mojave S),9.2E-4,0.0,0.0,3.0E-5,2.3E-4,8.4E-4,3.9E-4
294,San Andreas (North Branch Mill Creek),3.0E-5,0.0,0.0,0.0,2.0E-5,3.0E-5,1.0E-5
654,San Andreas (North Coast) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,San Andreas (Offshore) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,San Andreas (Parkfield),6.0E-5,0.0,0.0,0.0,1.0E-5,6.0E-5,1.0E-5
655,San Andreas (Peninsula) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,San Andreas (San Bernardino N),5.4E-4,0.0,0.0,2.0E-5,1.4E-4,4.7E-4,2.0E-4
283,San Andreas (San Bernardino S),2.4E-4,0.0,0.0,1.0E-5,7.0E-5,2.4E-4,8.0E-5
284,San Andreas (San Gorgonio Pass-Garnet HIll),1.2E-4,0.0,0.0,0.0,4.0E-5,1.2E-4,8.0E-5
657,San Andreas (Santa Cruz Mts) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,San Cayetano,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
178,San Clemente,2.0E-5,0.0,0.0,1.0E-5,1.0E-5,2.0E-5,0.0
774,San Diego Trough north alt1,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
177,San Diego Trough south,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
247,San Gabriel,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
248,San Gabriel (Extension),0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,San Gorgonio Pass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,San Gregorio (North) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,San Gregorio (South) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,San Jacinto (Anza) rev,4.0E-5,0.0,0.0,0.0,1.0E-5,4.0E-5,2.0E-5
99,San Jacinto (Borrego),2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,1.0E-5
292,San Jacinto (Clark) rev,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
101,San Jacinto (Coyote Creek),2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,2.0E-5
901,San Jacinto (Lytle Creek connector),4.0E-5,0.0,0.0,0.0,2.0E-5,4.0E-5,3.0E-5
119,San Jacinto (San Bernardino),5.0E-5,0.0,0.0,0.0,2.0E-5,5.0E-5,2.0E-5
289,San Jacinto (San Jacinto Valley) rev,4.0E-5,0.0,0.0,0.0,1.0E-5,4.0E-5,2.0E-5
401,San Jacinto (Stepovers Combined),4.0E-5,0.0,0.0,0.0,1.0E-5,4.0E-5,2.0E-5
28,San Jacinto (Superstition Mtn),3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,1.0E-5
143,San Joaquin Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,San Jose,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,San Juan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,San Luis Range - Oceano 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,San Luis Range - Pecho 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
691,San Luis Range 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,San Pedro Basin,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
183,San Pedro Escarpment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,San Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775,Santa Cruz Catalina Ridge alt1,2.0E-5,0.0,0.0,0.0,2.0E-5,2.0E-5,0.0
111,Santa Cruz Island,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0
185,Santa Monica Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Santa Monica alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Santa Rosa Island,3.0E-5,0.0,0.0,0.0,1.0E-5,3.0E-5,1.0E-5
778,Santa Susana East (connector),0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Santa Susana alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Santa Ynez (East),5.0E-5,0.0,0.0,0.0,1.0E-5,4.0E-5,0.0
77,Santa Ynez (West),6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,2.0E-5
781,Santa Ynez River,2.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
662,Sargent 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Scodie Lineament,9.0E-5,0.0,0.0,0.0,2.0E-5,9.0E-5,2.0E-5
885,Sheephole,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
547,Shoreline,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
114,Sierra Madre,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0
113,Sierra Madre (San Fernando),0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Sierra Nevada  (No Extension),8.0E-5,0.0,0.0,1.0E-5,3.0E-5,7.0E-5,4.0E-5
664,Silver Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Simi-Santa Rosa,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
202,Sisar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,Skinner Flat 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,So Sierra Nevada,0.00128,0.0,0.0,4.0E-5,3.1E-4,0.00128,2.7E-4
189,South Cuyama,0.0,0.0,0.0,0.0,0.0,0.0,0.0
