Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1744653657040,ci40926495,1.16,33.0155,-116.569,14.12
1744653595780,ci37544493,0.96,33.049,-116.583336,14.71
1744653588120,ci40926487,0.65,33.045666,-116.595665,13.26
1744653560890,ci40926479,0.9,33.053665,-116.61,13.32
1744653403460,ci40926471,0.71,33.044666,-116.5945,14.57
1744653358370,ci40926463,1.13,33.054333,-116.61483,12.57
1744653207220,ci40926447,0.96,33.05,-116.5725,15.64
1744653166410,ci40926439,1.79,33.038666,-116.591835,13.65
1744653111230,ci40926431,1.13,33.0365,-116.58134,13.57
1744653064240,ci40926423,0.63,33.052334,-116.61533,10.15
1744653003220,ci40926415,0.96,33.048668,-116.58234,13.78
1744652898060,ci40926407,0.38,33.0555,-116.605,12.59
1744652704540,ci40926399,0.85,33.058167,-116.602,12.75
1744652669060,ci40926391,1.87,33.027668,-116.59317,14.3
1744652427290,ci40926383,1.16,33.057167,-116.57767,14.27
1744652245550,ci40926375,0.78,33.04,-116.589836,12.92
1744652203690,ci37717756,0.55,33.057835,-116.60467,15.07
1744652187120,ci40926367,0.9,33.038834,-116.5845,13.87
1744652154780,ci40926359,1.49,33.028667,-116.58583,14.06
1744652149150,ci40926351,0.94,33.048668,-116.64367,13.9
1744652136900,ci37542957,0.88,33.0485,-116.574,15.11
1744652112070,ci40926343,1.47,33.046333,-116.603836,14.93
1744652074410,ci40926335,0.91,33.057667,-116.609665,12.8
1744652045250,ci40926319,0.95,33.112835,-116.63983,15.2
1744651996610,ci40926311,0.52,33.042168,-116.591,14.32
1744651947320,ci37717436,0.86,33.0535,-116.593834,14.72
1744651911750,ci40926303,0.8,33.05633,-116.60833,13.53
1744651850210,ci40926295,1.75,33.0315,-116.5885,14.52
1744651835350,ci37717276,1.39,33.0775,-116.56783,16.64
1744651826510,ci40926287,1.27,33.045666,-116.6015,13.08
1744651794860,ci40926279,0.8,33.056667,-116.605,13.66
1744651758240,ci40926271,1.03,33.06867,-116.61684,14.93
1744651737250,ci40926263,0.86,33.057167,-116.6025,16.11
1744651695740,ci40926255,1.13,33.05517,-116.61,13.21
1744651685330,ci40926247,0.53,33.0515,-116.59433,12.99
1744651571000,ci40926239,1.14,33.0835,-116.575165,16.7
1744651522080,ci37715524,1.8,33.092167,-116.5995,17.54
1744651518270,ci40926231,2.11,33.0465,-116.603,13.56
1744651476190,ci40926223,1.17,33.032833,-116.587166,14.02
1744651374470,ci40926215,1.95,33.04283,-116.59717,13.12
1744651369360,ci40926207,1.45,33.037666,-116.57567,13.88
1744651327880,ci40926199,1.06,33.037666,-116.578,14.02
1744651311230,ci37716156,0.93,33.095165,-116.62617,16.91
1744651290750,ci40926191,1.74,33.04767,-116.603836,13.39
1744651266050,ci40926183,1.33,33.051834,-116.606834,14.12
1744651250510,ci40926175,1.39,33.04,-116.583,13.78
1744651243160,ci40926167,1.04,33.049667,-116.591835,14.31
1744651213650,ci37715996,1.35,33.1015,-116.6055,17.27
1744651200470,ci40926159,1.76,33.0415,-116.59983,14.14
1744651195100,ci40926151,1.16,33.047832,-116.59,14.5
1744651162180,ci40926143,1.28,33.098835,-116.56033,15.9
1744651071910,ci40926135,1.98,33.047333,-116.590164,13.83
1744651041360,ci40926119,1.59,33.039333,-116.58617,15.61
